SYMBOL, SERIES, DATE1,PREVCL, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
NACLIND, EQ, 30-Jun-2020,38.75,38.75,39.8,37.6,38.5,38.5,38.54,61395,23.66,291,51876,84.5
NAGAFERT, BE, 30-Jun-2020,5.9,5.95,5.95,5.65,5.7,5.75,5.78,197367,11.4,472, -, -
NAGREEKEXP, EQ, 30-Jun-2020,14.4,14.4,15,13.7,13.9,13.9,14,10182,1.43,54,7252,71.22
NAHARCAP, EQ, 30-Jun-2020,66.05,64.55,69.8,64.25,65.8,65.8,66.14,2090,1.38,44,1763,84.35
NAHARINDUS, EQ, 30-Jun-2020,27,26.7,27.25,26,26.9,26.6,26.43,4896,1.29,112,3720,75.98
NAHARPOLY, EQ, 30-Jun-2020,68.3,65.5,65.75,64.9,64.9,64.9,65.01,18711,12.16,149,16794,89.75
NAHARSPING, EQ, 30-Jun-2020,35.35,35.15,36.3,34.95,35.25,35.1,35.36,10662,3.77,120,7798,73.14
NAM-INDIA, EQ, 30-Jun-2020,309.95,311.95,318.25,306,316.6,314.35,312.18,1147465,3582.15,16245,385074,33.56
NATCOPHARM, EQ, 30-Jun-2020,625.2,625,636.5,622.3,630,631.15,630.45,159809,1007.51,6893,82270,51.48
NATHBIOGEN, EQ, 30-Jun-2020,324.2,328.7,328.7,311,321,320.6,320.37,13794,44.19,491,8411,60.98
NATIONALUM, EQ, 30-Jun-2020,31.9,32.45,32.7,31.5,31.95,31.85,32.1,11485132,3687.25,42522,3742544,32.59
NAUKRI, EQ, 30-Jun-2020,2764.35,2789,2799,2750.1,2760,2761.85,2770.04,263890,7309.85,21879,129388,49.03
NAVINFLUOR, EQ, 30-Jun-2020,1590.3,1599.05,1639,1586.25,1626,1622,1620.02,164709,2668.32,10969,67298,40.86
NAVKARCORP, EQ, 30-Jun-2020,27.8,27.95,27.95,24.3,26.25,26.15,26.67,327431,87.31,1767,174005,53.14
NAVNETEDUL, EQ, 30-Jun-2020,78.65,78.15,80.05,75,76.8,76.55,77.26,89097,68.83,1596,38158,42.83
NBCC, EQ, 30-Jun-2020,23.4,23.5,24.2,23.15,23.35,23.25,23.68,7595608,1798.47,50018,2679916,35.28
NBIFIN, EQ, 30-Jun-2020,1513.35,1599,1699.8,1511.1,1550,1535.65,1567.73,264,4.14,34,130,49.24
NBVENTURES, EQ, 30-Jun-2020,53.2,53.75,53.95,50.65,50.9,51.1,52,560595,291.51,3452,318655,56.84
NCC, EQ, 30-Jun-2020,29.9,30.4,30.75,28.85,29.1,29.15,29.72,17550951,5216.56,22562,4474812,25.5
NCLIND, EQ, 30-Jun-2020,73.05,73.6,73.8,68.8,70.7,70.25,70.65,669981,473.35,4978,138802,20.72
NDGL, EQ, 30-Jun-2020,514.6,512,512,474.05,476,476.3,489.5,272,1.33,25,236,86.76
NDL, EQ, 30-Jun-2020,19.85,20.85,21.8,20.5,21,21,21.13,65296,13.8,412,35793,54.82
NDTV, BE, 30-Jun-2020,38.6,38.6,38.7,37,37.2,37.1,37.65,20888,7.86,215, -, -
NECCLTD, EQ, 30-Jun-2020,11.8,12.25,12.35,12.1,12.35,12.35,12.31,73528,9.05,145,59128,80.42
NECLIFE, EQ, 30-Jun-2020,22.25,22.75,22.75,21.3,21.7,21.55,21.82,601069,131.18,2468,355753,59.19
NELCAST, EQ, 30-Jun-2020,42.85,43.15,44.45,42.15,42.7,42.45,43.24,147119,63.62,1302,81691,55.53
NELCO, EQ, 30-Jun-2020,194.15,197.35,202,193.55,194.5,194.7,197.78,62816,124.24,1611,22062,35.12
NEOGEN, EQ, 30-Jun-2020,480.9,489.8,490,474.9,475,475.2,479.16,17365,83.21,891,12013,69.18
NESCO, EQ, 30-Jun-2020,429.85,430,436.95,425.55,426.15,426.2,429.62,19281,82.84,1073,11211,58.15
NESTLEIND, EQ, 30-Jun-2020,16724.85,16799,17298,16753.9,17150,17174.45,17077.34,201034,34331.26,44766,96531,48.02
NETF, EQ, 30-Jun-2020,105.07,102.91,103.02,102.91,103.02,103.02,103,7,0.01,3,7,100
NETFCONSUM, EQ, 30-Jun-2020,51.19,51.2,51.2,50.56,51.18,51.18,50.84,408,0.21,23,384,94.12
NETFDIVOPP, EQ, 30-Jun-2020,26.07,26.07,26.58,26.07,26.3,26.3,26.47,329,0.09,11,329,100
NETFLTGILT, EQ, 30-Jun-2020,21.77,21.69,21.82,21.69,21.72,21.73,21.76,76463,16.64,54,57923,75.75
NETFMID150, EQ, 30-Jun-2020,56.63,56.69,57.79,56.04,56.7,56.63,56.85,122444,69.61,386,106455,86.94
NETFNIF100, EQ, 30-Jun-2020,112.83,112,114,111.3,111.31,111.31,112.3,263,0.3,17,182,69.2
NETFNV20, EQ, 30-Jun-2020,53.29,53.95,53.96,52.58,53.55,53.52,53.49,796,0.43,20,433,54.4
NETWORK18, EQ, 30-Jun-2020,42.25,42.8,43.25,40.5,41,40.8,41.5,2330650,967.11,7695,1184908,50.84
NEULANDLAB, EQ, 30-Jun-2020,546.55,553.35,604.7,546.85,575,576.45,584.64,443014,2590.05,22250,119514,26.98
NEWGEN, EQ, 30-Jun-2020,148.35,150.95,150.95,146,150,149.25,148.35,21899,32.49,749,13459,61.46
NEXTMEDIA, BE, 30-Jun-2020,7.55,7.55,7.9,7.2,7.5,7.7,7.6,16516,1.25,56, -, -
NFL, EQ, 30-Jun-2020,32.55,33.1,34.5,31.5,32.9,32.85,32.99,2780677,917.47,8431,1083750,38.97
NH, EQ, 30-Jun-2020,264.55,265,269.85,265,268.25,268,267.66,255386,683.57,6437,198012,77.53
NHAI, N1, 30-Jun-2020,1116,1115,1115.75,1115,1115.26,1115.32,1115.38,5537,61.76,44,4025,72.69
NHAI, N2, 30-Jun-2020,1266.01,1268.77,1268.77,1266,1266.01,1266.44,1267.32,572,7.25,13,547,95.63
NHAI, N5, 30-Jun-2020,1305,1296.99,1297,1296,1296,1296,1296.91,1100,14.27,3,1100,100
NHAI, N8, 30-Jun-2020,1167.95,1164.99,1164.99,1164.9,1164.9,1164.9,1164.98,959,11.17,13,959,100
NHAI, N9, 30-Jun-2020,1216.01,1185,1241,1185,1241,1241,1234.71,110,1.36,4,100,90.91
NHAI, NA, 30-Jun-2020,1250.58,1251,1267,1248.25,1259.99,1260.18,1258.02,5675,71.39,74,5291,93.23
NHAI, NE, 30-Jun-2020,1292.7,1299.9,1299.9,1292.1,1292.9,1292.9,1293.29,747,9.66,10,599,80.19
NHBTF2014, N6, 30-Jun-2020,7250.01,7250,7289,7250,7289,7288.3,7256.85,185,13.43,7,170,91.89
NHPC, EQ, 30-Jun-2020,20.2,20.45,20.45,19.9,20.05,20,20.05,9233584,1851.08,9419,6686041,72.41
NHPC, N6, 30-Jun-2020,1406.75,1406,1408,1406,1408,1408,1407.96,510,7.18,4,510,100
NIACL, EQ, 30-Jun-2020,113.8,115.5,119.8,115.25,116.95,116.65,117.46,1017831,1195.55,14098,364903,35.85
NIBL, EQ, 30-Jun-2020,8.65,9.05,9.05,9,9.05,9.05,9.05,16302,1.47,42,13782,84.54
NIFTYBEES, EQ, 30-Jun-2020,109.74,110.95,110.95,109.25,109.66,109.52,109.98,1667919,1834.35,7644,347414,20.83
NIITLTD, EQ, 30-Jun-2020,94.25,94.5,95.45,94.05,94.5,94.5,94.6,463051,438.03,4230,232064,50.12
NIITTECH, EQ, 30-Jun-2020,1417.7,1439.2,1439.7,1401.1,1403,1409.2,1421.7,291679,4146.8,15347,51523,17.66
